artist,collab_index,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
Weeknd,100.0,0.3032144871794872,0.5652948717948717,285339.10256410256,0.5989102564102564,0.00934082923076923,0.20390384615384619,-7.595692307692309,0.0811205128205128,127.13603846153845,0.32032820512820503
Ariana Grande,100.0,0.234111619047619,0.6210793650793651,203643.39682539683,0.5820952380952381,2.1258253968253968e-05,0.18258888888888888,-6.187126984126984,0.07706666666666667,113.0203492063492,0.4406190476190477
Taylor Swift,100.0,0.18894728888888887,0.6128444444444444,241491.5,0.6219888888888889,0.0005326236666666666,0.14842222222222223,-6.3768,0.04999555555555556,122.55467777777774,0.41647888888888895
Drake,100.0,0.22578479243243244,0.6319405405405405,234819.52432432433,0.5907059459459459,0.01053079427027027,0.2197654054054054,-7.88014054054054,0.1929643243243243,123.39317297297298,0.40602054054054054
Ed Sheeran,99.0,0.48383235294117655,0.6479852941176469,247894.36764705883,0.5329764705882354,0.010697439999999999,0.23350735294117644,-7.615426470588236,0.09528529411764707,108.22294117647058,0.5350147058823529
BTS,88.0,0.09309003191489364,0.5942553191489363,227904.21276595743,0.7863617021276593,0.006448166914893616,0.17972021276595748,-4.436617021276596,0.1142,120.74729787234041,0.4858372340425532
Justin Bieber,74.25,0.23892543589743584,0.591397435897436,220849.2435897436,0.6565974358974359,0.0078057138461538455,0.1813192307692308,-6.634794871794872,0.07241538461538462,119.35297435897438,0.5048576923076923
Eminem,86.0,0.18500068125000002,0.7213812500000001,240208.68125,0.712125,0.0069129513749999994,0.2925075,-6.145506249999999,0.30490375,110.27040625,0.5586325
Travis Scott,100.0,0.15026423404255318,0.6519574468085108,239883.3404255319,0.6258723404255319,0.0018053629787234044,0.21661702127659574,-5.152489361702129,0.09684468085106383,127.39989361702126,0.2963106382978723
Post Malone,99.0,0.3262111111111111,0.6238888888888889,221027.47222222222,0.6033611111111112,0.012994966388888888,0.1415833333333333,-6.337777777777778,0.07312500000000001,124.45383333333332,0.3404444444444445
